Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Blinding Lights,The Weeknd,After Hours,4yP0hdKOZPNshxUOjY0cZj,0VjIjW4GlUZAMYd2vXMi3b,87,2020-03-20,200040,False,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.513,0.73,1,-5.94,1,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001
Shape of You,Ed Sheeran,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,7qiZfU4dY1lWllzX7mPBI3,86,2017-03-03,233713,False,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,7qEHsqek33rTcFNT9PFqLf,86,2019-05-17,182161,False,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891
As It Was,Harry Styles,Harry's House,5r36AJ6VOJtp00oxSkBZ5h,4Dvkj6JhhA12EX05fT7y2e,87,2022-05-20,167303,False,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),35s58BRTGAEWztPo9WqCIs,3KkXRkHbMCARz0aVfEt68P,79,2018-12-14,158040,False,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,0.76,0.478,2,-5.574,1,0.0467,0.552,0.0,0.0703,0.913,89.908
Starboy,"The Weeknd, Daft Punk",Starboy,09fggMHib4YkOtwQNXEBII,5aAx2yezTd8zXrkmtKl66Z,2,2016-11-25,230453,True,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054
One Dance,"Drake, Wizkid, Kyla",Views,3hARKC8cinq3mZLLAEaBh9,1xznGGDReH1oQq0xzbwXa3,2,2016-05-06,173987,False,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",F*CK LOVE 3: OVER YOU,4bZJWQhHKJckFLJuYdvyX2,5PjdY0CKGZdEuoNab3yDmX,18,2021-07-23,141806,True,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928
Sweater Weather,The Neighbourhood,I Love You.,4xkM0BwLM9H2IUcbYzpcBI,2QjOHCTQ1Jl3zawyYOpxh6,90,2013-04-22,240400,False,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053
Believer,Imagine Dragons,Evolve,5GlPAy2PRJW06GVFhKwGTl,0CcQNd8CINkwQfe1RDtGV6,2,2017-06-23,204347,False,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6,0.779,0.787,10,-4.305,0,0.108,0.0524,0.0,0.14,0.708,124.982
Heat Waves,Glass Animals,Heat Waves,69K1zrf6TkXHdYUO8n2qVi,6CDzDgIUqeDY5g8ujExx2f,7,2020-06-29,238805,False,https://open.spotify.com/track/6CDzDgIUqeDY5g8ujExx2f,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0UywfDKYlyiu1b38DRrzYD,2XU0oxnq2qxCpomAAuJY8K,72,2019-10-17,209438,False,https://open.spotify.com/track/2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027
Perfect,Ed Sheeran,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,0tgVpDi06FyKpA1z0VMD4v,86,2017-03-03,263400,False,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05
rockstar,"Post Malone, 21 Savage",rockstar,4AabsQ6plH3OmdE6BWI04j,7wGoVu4Dady5GV0Sv4UIsx,10,2017-09-15,218320,True,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772
Tunnel Of Love,Kalu,Tunnel Of Love,4qzGXAu5FEVHfW5PeQwgqC,5G4uNOOs5ZyVicj6vHl6KY,30,2024-10-01,142409,False,https://open.spotify.com/track/5G4uNOOs5ZyVicj6vHl6KY,0.539,0.887,11,-4.27,0,0.0414,0.00173,2.92e-05,0.194,0.192,95.983
lovely (with Khalid),"Billie Eilish, Khalid",lovely (with Khalid),2sBB17RXTamvj7Ncps15AK,0u2P5u6lvoDfwTYjAADbn4,86,2018-04-19,200186,False,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284
Say You Won't Let Go,James Arthur,Back from the Edge,7oiJYvEJHsmYtrgviAVIBD,5uCax9HTNlzGybIStD3vDh,85,2016-10-28,211467,False,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043
Sunlight,The Hourglass Effect,Sunlight,6MlQBLTUfE3Ritq5gkPUOb,2NQzj8czPzUw9ufCOvAT8W,49,2024-09-06,266359,False,https://open.spotify.com/track/2NQzj8czPzUw9ufCOvAT8W,0.396,0.905,8,-6.436,1,0.0738,0.000202,0.191,0.097,0.598,160.003
Closer,"The Chainsmokers, Halsey",Closer,0rSLgV8p5FzfnqlEk4GzxE,7BKLCZ1jbUBVqRi2FVlTVw,84,2016-07-29,244960,False,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01
Watermelon Sugar,Harry Styles,Fine Line,7xV2TzoaVc0ycW7fwBwAml,6UelLqGlWMcVH1E5c4H7lY,82,2019-12-13,174000,False,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39
Señorita,"Shawn Mendes, Camila Cabello",Señorita,2ZaX1FdZCwchXl1QZiD4O4,0TK2YIli7K1leLovkQiNik,74,2019-06-21,190960,False,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947
Something Just Like This,"The Chainsmokers, Coldplay",Memories...Do Not Open,4JPguzRps3kuWDD5GS6oXr,6RUKPb4LETWmmr3iAEQktW,86,2017-04-07,247160,False,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019
where do i go?,leoleo,where do i go?,2umeC5Wf7Iw5HIMHlsjEjR,6EIsrLeTHnX1fNU2Ci36RL,41,2024-06-07,171374,False,https://open.spotify.com/track/6EIsrLeTHnX1fNU2Ci36RL,0.586,0.587,2,-6.859,1,0.0407,0.0825,1.53e-06,0.246,0.699,93.773
Riptide,Vance Joy,Dream Your Life Away,6rIbiUMmZJfqJRnXhVxFvg,7yq4Qj7cqayVTp3FF9CWbm,78,2014-09-08,204280,False,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654
Don't Start Now,Dua Lipa,Future Nostalgia,7fJJK56U9fHixgO0HQkhtI,3PfIrDoz19wz7qK7tYeu62,80,2020-03-27,183290,False,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95
Take Me To Church,Hozier,Hozier (Special Edition),6bcl0ZcPJWJtyuRsOyhvfv,2EiGECydkS2M8OCcRHQZhT,0,2014-11-06,241688,False,https://open.spotify.com/track/2EiGECydkS2M8OCcRHQZhT,0.456,0.67,7,-5.212,1,0.0574,0.588,0.0,0.116,0.405,128.632
Another Love,Tom Odell,Long Way Down (Deluxe),0Gf1yE895FKK4YWVRuAeg8,3JvKfv6T31zO0ini8iNItO,86,2013-06-24,244360,True,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769
Counting Stars,OneRepublic,Native,1Cm6wsvnTlOXrfI9PkD8i4,5edBgVtRD0fvWk140Sl21T,1,2013-01-01,257267,False,https://open.spotify.com/track/5edBgVtRD0fvWk140Sl21T,0.662,0.71,1,-4.945,0,0.0364,0.0603,0.0,0.119,0.465,121.979
Wavy,Yerin,Rewrite,5H80DTznH6q3sVcb7aKAid,1Bk4mFK1shZUoHfYJMwqWp,50,2024-09-04,173667,False,https://open.spotify.com/track/1Bk4mFK1shZUoHfYJMwqWp,0.707,0.907,10,-4.069,1,0.0418,0.244,0.0,0.112,0.869,125.04
Photograph,Ed Sheeran,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,1HNkqx9Ahdgi1Ixy2xkKkL,84,2014-06-21,258987,False,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989
Like Em Country,Cwby,Like Em Country,4V6MpMUEtrtPvcSVkGLkLF,6krwVrqihThMtvID5LlaYj,41,2024-08-23,179985,False,https://open.spotify.com/track/6krwVrqihThMtvID5LlaYj,0.751,0.855,7,-3.737,0,0.0626,0.106,0.0,0.206,0.657,93.996
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,6tkjU4Umpo79wwkgPMV3nZ,285pBltuF7vW8TeWk8hdRR,82,2018-12-10,239836,True,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903
Circles,Post Malone,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,21jGcNKet2qwijlDFuPiPb,83,2019-09-06,215280,False,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,0.695,0.763,0,-3.497,1,0.0396,0.189,0.00242,0.0863,0.551,120.042
Cool Girls Party,Melanie Herrera,Cool Girls Party,34RRJGyPmQcrRts5vdcPXs,2snvV5XQw30jstCYlr1W5o,41,2024-10-17,183373,False,https://open.spotify.com/track/2snvV5XQw30jstCYlr1W5o,0.734,0.373,11,-10.301,1,0.0491,0.451,0.000485,0.431,0.595,109.069
God's Plan,Drake,Scary Hours,2YDNDwQvsU0njt7Kq0xNRY,6T8cJz5lAqGer9GUHGyelE,1,2018-01-20,198960,True,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE,0.755,0.448,7,-9.587,1,0.107,0.0283,3.28e-05,0.514,0.318,77.179
