title,rank,date,artist,url,region,chart,trend,streams
Easy On Me,1,2021-10-15,Adele,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX,Global,top200,MOVE_UP,19749704.0
All I Want for Christmas Is You,1,2020-12-24,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Global,top200,SAME_POSITION,17223237.0
Last Christmas,2,2020-12-24,Wham!,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,Global,top200,SAME_POSITION,15813799.0
drivers license,1,2021-01-15,Olivia Rodrigo,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS,Global,top200,SAME_POSITION,13714177.0
good 4 u,1,2021-05-25,Olivia Rodrigo,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,Global,top200,SAME_POSITION,12586645.0
Girls Want Girls (with Lil Baby),1,2021-09-03,Drake,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3,Global,top200,NEW_ENTRY,12384750.0
Santa Tell Me,3,2020-12-24,Ariana Grande,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,Global,top200,SAME_POSITION,12229331.0
It's Beginning to Look a Lot like Christmas,4,2020-12-24,Michael Bublé,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI,Global,top200,MOVE_UP,11975033.0
Jingle Bell Rock,5,2020-12-24,Bobby Helms,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya,Global,top200,MOVE_UP,11924353.0
Rockin' Around The Christmas Tree,6,2020-12-24,Brenda Lee,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,Global,top200,MOVE_DOWN,11801426.0
Champagne Poetry,2,2021-09-03,Drake,https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk,Global,top200,NEW_ENTRY,11696783.0
Fair Trade (with Travis Scott),3,2021-09-03,Drake,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS,Global,top200,NEW_ENTRY,11642541.0
Despacito (Featuring Daddy Yankee),1,2017-05-27,Luis Fonsi,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,Global,top200,MOVE_UP,11381520.0
Butter,2,2021-05-21,BTS,https://open.spotify.com/track/3VqeTFIvhxu3DIe4eZVzGq,Global,top200,NEW_ENTRY,11042335.0
I Don't Care (with Justin Bieber),1,2019-05-10,Ed Sheeran,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,Global,top200,NEW_ENTRY,10977389.0
STAY (with Justin Bieber),1,2021-08-20,The Kid LAROI,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,Global,top200,SAME_POSITION,10629302.0
7 rings,1,2019-02-08,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,Global,top200,SAME_POSITION,10445538.0
It's the Most Wonderful Time of the Year,7,2020-12-24,Andy Williams,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A,Global,top200,MOVE_UP,10429582.0
SAD!,1,2018-06-19,XXXTENTACION,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,Global,top200,MOVE_UP,10415088.0
DÁKITI,1,2020-11-27,"Bad Bunny, Jhay Cortez",https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,Global,top200,SAME_POSITION,10086143.0
Papi’s Home,5,2021-09-03,Drake,https://open.spotify.com/track/6jy9yJfgCsMHdu2Oz4BGKX,Global,top200,NEW_ENTRY,10029292.0
Señorita,1,2019-07-05,"Shawn Mendes, Camila Cabello",https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik,Global,top200,SAME_POSITION,9936178.0
Shape of You,1,2017-03-03,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Global,top200,SAME_POSITION,9891056.0
In My Feelings,1,2018-07-20,Drake,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,Global,top200,SAME_POSITION,9847333.0
"thank u, next",1,2018-11-09,Ariana Grande,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,Global,top200,SAME_POSITION,9606415.0
Way 2 Sexy (with Future & Young Thug),6,2021-09-03,Drake,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG,Global,top200,NEW_ENTRY,9551514.0
Jail,2,2021-08-30,Kanye West,https://open.spotify.com/track/42ZrMq4BKsWDrrbMnMRYaK,Global,top200,SAME_POSITION,9328254.0
Nonstop,1,2018-06-29,Drake,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX,Global,top200,NEW_ENTRY,9298297.0
In The Bible (with Lil Durk & Giveon),7,2021-09-03,Drake,https://open.spotify.com/track/61S79KIVA4I9FXbnsylEHT,Global,top200,NEW_ENTRY,9281048.0
Underneath the Tree,8,2020-12-24,Kelly Clarkson,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5,Global,top200,MOVE_UP,9280301.0
Love All (with JAY-Z),8,2021-09-03,Drake,https://open.spotify.com/track/4VCbgIdr8ptegWeJpqLVHH,Global,top200,NEW_ENTRY,9062591.0
Dance Monkey,1,2019-12-31,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,Global,top200,SAME_POSITION,8928593.0
INDUSTRY BABY (feat. Jack Harlow),2,2021-09-17,Lil Nas X,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,Global,top200,SAME_POSITION,8808346.0
Survival,2,2018-06-29,Drake,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP,Global,top200,NEW_ENTRY,8611591.0
MONTERO (Call Me By Your Name),1,2021-04-09,Lil Nas X,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb,Global,top200,SAME_POSITION,8588023.0
God's Plan,1,2018-01-26,Drake,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,Global,top200,SAME_POSITION,8553009.0
Despacito - Remix,1,2017-05-26,"Luis Fonsi, Daddy Yankee, Justin Bieber",https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,Global,top200,SAME_POSITION,8525474.0
Blinding Lights,1,2020-03-20,The Weeknd,https://open.spotify.com/track/0kPmcPPkjoyfLhUwHLWrk0,Global,top200,SAME_POSITION,8453567.0
Let It Snow! Let It Snow! Let It Snow!,9,2020-12-24,Dean Martin,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg,Global,top200,MOVE_UP,8276576.0
Feliz Navidad,10,2020-12-24,José Feliciano,https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId,Global,top200,MOVE_UP,8269001.0
Lose You To Love Me,1,2019-10-25,Selena Gomez,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,Global,top200,SAME_POSITION,8166076.0
TSU,9,2021-09-03,Drake,https://open.spotify.com/track/4s7QLoImIwmPi9L6dq1nVW,Global,top200,NEW_ENTRY,8070577.0
Peaches (feat. Daniel Caesar & Giveon),2,2021-04-09,Justin Bieber,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI,Global,top200,SAME_POSITION,8020169.0
Beggin',1,2021-07-16,Måneskin,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,Global,top200,SAME_POSITION,8005228.0
